 YYYY DOY   AU     ELAT   ELON
 1998   1  0.983   0.00  100.36
 1998   2  0.983   0.00  101.38
 1998   3  0.983   0.00  102.39
 1998   4  0.983   0.00  103.41
 1998   5  0.983   0.00  104.43
 1998   6  0.983   0.00  105.45
 1998   7  0.983   0.00  106.47
 1998   8  0.983   0.00  107.49
 1998   9  0.983   0.00  108.51
 1998  10  0.983   0.00  109.53
 1998  11  0.983   0.00  110.55
 1998  12  0.983   0.00  111.57
 1998  13  0.984   0.00  112.59
 1998  14  0.984   0.00  113.60
 1998  15  0.984   0.00  114.62
 1998  16  0.984   0.00  115.64
 1998  17  0.984   0.00  116.66
 1998  18  0.984   0.00  117.68
 1998  19  0.984   0.00  118.70
 1998  20  0.984   0.00  119.71
 1998  21  0.984   0.00  120.73
 1998  22  0.984   0.00  121.75
 1998  23  0.984   0.00  122.77
 1998  24  0.984   0.00  123.78
 1998  25  0.984   0.00  124.80
 1998  26  0.985   0.00  125.82
 1998  27  0.985   0.00  126.83
 1998  28  0.985   0.00  127.85
 1998  29  0.985   0.00  128.87
 1998  30  0.985   0.00  129.88
 1998  31  0.985   0.00  130.90
 1998  32  0.985   0.00  131.91
 1998  33  0.985   0.00  132.93
 1998  34  0.986   0.00  133.94
 1998  35  0.986   0.00  134.96
 1998  36  0.986   0.00  135.97
 1998  37  0.986   0.00  136.99
 1998  38  0.986   0.00  138.00
 1998  39  0.986   0.00  139.01
 1998  40  0.987   0.00  140.02
 1998  41  0.987   0.00  141.04
 1998  42  0.987   0.00  142.05
 1998  43  0.987   0.00  143.06
 1998  44  0.987   0.00  144.07
 1998  45  0.988   0.00  145.08
 1998  46  0.988   0.00  146.09
 1998  47  0.988   0.00  147.10
 1998  48  0.988   0.00  148.11
 1998  49  0.988   0.00  149.12
 1998  50  0.989   0.00  150.13
 1998  51  0.989   0.00  151.14
 1998  52  0.989   0.00  152.15
 1998  53  0.989   0.00  153.15
 1998  54  0.989   0.00  154.16
 1998  55  0.990   0.00  155.17
 1998  56  0.990   0.00  156.17
 1998  57  0.990   0.00  157.18
 1998  58  0.990   0.00  158.18
 1998  59  0.991   0.00  159.19
 1998  60  0.991   0.00  160.19
 1998  61  0.991   0.00  161.20
 1998  62  0.991   0.00  162.20
 1998  63  0.992   0.00  163.20
 1998  64  0.992   0.00  164.20
 1998  65  0.992   0.00  165.21
 1998  66  0.992   0.00  166.21
 1998  67  0.993   0.00  167.21
 1998  68  0.993   0.00  168.21
 1998  69  0.993   0.00  169.21
 1998  70  0.993   0.00  170.21
 1998  71  0.994   0.00  171.21
 1998  72  0.994   0.00  172.20
 1998  73  0.994   0.00  173.20
 1998  74  0.994   0.00  174.20
 1998  75  0.995   0.00  175.19
 1998  76  0.995   0.00  176.19
 1998  77  0.995   0.00  177.19
 1998  78  0.996   0.00  178.18
 1998  79  0.996   0.00  179.17
 1998  80  0.996  -0.00  180.17
 1998  81  0.996  -0.00  181.16
 1998  82  0.997  -0.00  182.15
 1998  83  0.997  -0.00  183.15
 1998  84  0.997  -0.00  184.14
 1998  85  0.997  -0.00  185.13
 1998  86  0.998  -0.00  186.12
 1998  87  0.998  -0.00  187.11
 1998  88  0.998  -0.00  188.10
 1998  89  0.999  -0.00  189.08
 1998  90  0.999  -0.00  190.07
 1998  91  0.999  -0.00  191.06
 1998  92  0.999  -0.00  192.05
 1998  93  1.000  -0.00  193.03
 1998  94  1.000  -0.00  194.02
 1998  95  1.000  -0.00  195.00
 1998  96  1.001  -0.00  195.99
 1998  97  1.001  -0.00  196.97
 1998  98  1.001  -0.00  197.96
 1998  99  1.001  -0.00  198.94
 1998 100  1.002  -0.00  199.92
 1998 101  1.002  -0.00  200.90
 1998 102  1.002  -0.00  201.88
 1998 103  1.003  -0.00  202.86
 1998 104  1.003  -0.00  203.84
 1998 105  1.003  -0.00  204.82
 1998 106  1.003  -0.00  205.80
 1998 107  1.004  -0.00  206.78
 1998 108  1.004  -0.00  207.76
 1998 109  1.004  -0.00  208.74
 1998 110  1.005  -0.00  209.71
 1998 111  1.005  -0.00  210.69
 1998 112  1.005  -0.00  211.67
 1998 113  1.005  -0.00  212.64
 1998 114  1.006  -0.00  213.62
 1998 115  1.006  -0.00  214.59
 1998 116  1.006  -0.00  215.56
 1998 117  1.006  -0.00  216.54
 1998 118  1.007  -0.00  217.51
 1998 119  1.007  -0.00  218.48
 1998 120  1.007  -0.00  219.45
 1998 121  1.008  -0.00  220.42
 1998 122  1.008  -0.00  221.39
 1998 123  1.008  -0.00  222.36
 1998 124  1.008  -0.00  223.33
 1998 125  1.009  -0.00  224.30
 1998 126  1.009  -0.00  225.27
 1998 127  1.009  -0.00  226.24
 1998 128  1.009  -0.00  227.21
 1998 129  1.009  -0.00  228.18
 1998 130  1.010  -0.00  229.14
 1998 131  1.010  -0.00  230.11
 1998 132  1.010  -0.00  231.07
 1998 133  1.010  -0.00  232.04
 1998 134  1.011  -0.00  233.01
 1998 135  1.011  -0.00  233.97
 1998 136  1.011  -0.00  234.93
 1998 137  1.011  -0.00  235.90
 1998 138  1.011  -0.00  236.86
 1998 139  1.012  -0.00  237.82
 1998 140  1.012  -0.00  238.79
 1998 141  1.012  -0.00  239.75
 1998 142  1.012  -0.00  240.71
 1998 143  1.012  -0.00  241.67
 1998 144  1.013  -0.00  242.63
 1998 145  1.013  -0.00  243.60
 1998 146  1.013  -0.00  244.56
 1998 147  1.013  -0.00  245.52
 1998 148  1.013  -0.00  246.48
 1998 149  1.014  -0.00  247.44
 1998 150  1.014  -0.00  248.39
 1998 151  1.014  -0.00  249.35
 1998 152  1.014  -0.00  250.31
 1998 153  1.014  -0.00  251.27
 1998 154  1.014  -0.00  252.23
 1998 155  1.014  -0.00  253.19
 1998 156  1.015  -0.00  254.14
 1998 157  1.015  -0.00  255.10
 1998 158  1.015  -0.00  256.06
 1998 159  1.015  -0.00  257.02
 1998 160  1.015  -0.00  257.97
 1998 161  1.015  -0.00  258.93
 1998 162  1.015  -0.00  259.88
 1998 163  1.015  -0.00  260.84
 1998 164  1.016  -0.00  261.80
 1998 165  1.016  -0.00  262.75
 1998 166  1.016  -0.00  263.71
 1998 167  1.016  -0.00  264.66
 1998 168  1.016  -0.00  265.62
 1998 169  1.016  -0.00  266.57
 1998 170  1.016  -0.00  267.53
 1998 171  1.016  -0.00  268.48
 1998 172  1.016  -0.00  269.43
 1998 173  1.016  -0.00  270.39
 1998 174  1.016  -0.00  271.34
 1998 175  1.016  -0.00  272.30
 1998 176  1.016  -0.00  273.25
 1998 177  1.017  -0.00  274.20
 1998 178  1.017  -0.00  275.16
 1998 179  1.017  -0.00  276.11
 1998 180  1.017  -0.00  277.07
 1998 181  1.017  -0.00  278.02
 1998 182  1.017  -0.00  278.97
 1998 183  1.017  -0.00  279.93
 1998 184  1.017  -0.00  280.88
 1998 185  1.017  -0.00  281.83
 1998 186  1.017  -0.00  282.79
 1998 187  1.017  -0.00  283.74
 1998 188  1.017  -0.00  284.69
 1998 189  1.017  -0.00  285.65
 1998 190  1.017  -0.00  286.60
 1998 191  1.017  -0.00  287.55
 1998 192  1.017  -0.00  288.51
 1998 193  1.017  -0.00  289.46
 1998 194  1.017  -0.00  290.41
 1998 195  1.017  -0.00  291.37
 1998 196  1.016  -0.00  292.32
 1998 197  1.016  -0.00  293.28
 1998 198  1.016  -0.00  294.23
 1998 199  1.016  -0.00  295.18
 1998 200  1.016  -0.00  296.14
 1998 201  1.016  -0.00  297.09
 1998 202  1.016  -0.00  298.05
 1998 203  1.016  -0.00  299.00
 1998 204  1.016  -0.00  299.96
 1998 205  1.016  -0.00  300.91
 1998 206  1.016  -0.00  301.87
 1998 207  1.016  -0.00  302.82
 1998 208  1.016  -0.00  303.78
 1998 209  1.015  -0.00  304.73
 1998 210  1.015  -0.00  305.69
 1998 211  1.015  -0.00  306.64
 1998 212  1.015  -0.00  307.60
 1998 213  1.015  -0.00  308.56
 1998 214  1.015  -0.00  309.51
 1998 215  1.015  -0.00  310.47
 1998 216  1.015  -0.00  311.43
 1998 217  1.014  -0.00  312.38
 1998 218  1.014  -0.00  313.34
 1998 219  1.014  -0.00  314.30
 1998 220  1.014  -0.00  315.26
 1998 221  1.014  -0.00  316.22
 1998 222  1.014  -0.00  317.18
 1998 223  1.014  -0.00  318.14
 1998 224  1.013  -0.00  319.09
 1998 225  1.013  -0.00  320.05
 1998 226  1.013  -0.00  321.01
 1998 227  1.013  -0.00  321.97
 1998 228  1.013  -0.00  322.94
