 YYYY DOY   AU     ELAT   ELON
 1998   1  5.023  -0.99  329.77
 1998   2  5.022  -0.99  329.86
 1998   3  5.022  -0.99  329.95
 1998   4  5.022  -0.99  330.04
 1998   5  5.022  -0.99  330.13
 1998   6  5.021  -1.00  330.22
 1998   7  5.021  -1.00  330.31
 1998   8  5.021  -1.00  330.40
 1998   9  5.021  -1.00  330.48
 1998  10  5.020  -1.00  330.57
 1998  11  5.020  -1.00  330.66
 1998  12  5.020  -1.00  330.75
 1998  13  5.020  -1.00  330.84
 1998  14  5.019  -1.01  330.93
 1998  15  5.019  -1.01  331.02
 1998  16  5.019  -1.01  331.11
 1998  17  5.018  -1.01  331.20
 1998  18  5.018  -1.01  331.29
 1998  19  5.018  -1.01  331.38
 1998  20  5.018  -1.01  331.47
 1998  21  5.017  -1.01  331.56
 1998  22  5.017  -1.02  331.64
 1998  23  5.017  -1.02  331.73
 1998  24  5.017  -1.02  331.82
 1998  25  5.016  -1.02  331.91
 1998  26  5.016  -1.02  332.00
 1998  27  5.016  -1.02  332.09
 1998  28  5.016  -1.02  332.18
 1998  29  5.015  -1.03  332.27
 1998  30  5.015  -1.03  332.36
 1998  31  5.015  -1.03  332.45
 1998  32  5.015  -1.03  332.54
 1998  33  5.014  -1.03  332.63
 1998  34  5.014  -1.03  332.72
 1998  35  5.014  -1.03  332.81
 1998  36  5.014  -1.03  332.90
 1998  37  5.013  -1.04  332.99
 1998  38  5.013  -1.04  333.07
 1998  39  5.013  -1.04  333.16
 1998  40  5.013  -1.04  333.25
 1998  41  5.012  -1.04  333.34
 1998  42  5.012  -1.04  333.43
 1998  43  5.012  -1.04  333.52
 1998  44  5.012  -1.04  333.61
 1998  45  5.012  -1.04  333.70
 1998  46  5.011  -1.05  333.79
 1998  47  5.011  -1.05  333.88
 1998  48  5.011  -1.05  333.97
 1998  49  5.011  -1.05  334.06
 1998  50  5.010  -1.05  334.15
 1998  51  5.010  -1.05  334.24
 1998  52  5.010  -1.05  334.33
 1998  53  5.010  -1.05  334.42
 1998  54  5.009  -1.06  334.51
 1998  55  5.009  -1.06  334.60
 1998  56  5.009  -1.06  334.69
 1998  57  5.009  -1.06  334.78
 1998  58  5.008  -1.06  334.87
 1998  59  5.008  -1.06  334.96
 1998  60  5.008  -1.06  335.04
 1998  61  5.008  -1.06  335.13
 1998  62  5.007  -1.07  335.22
 1998  63  5.007  -1.07  335.31
 1998  64  5.007  -1.07  335.40
 1998  65  5.007  -1.07  335.49
 1998  66  5.006  -1.07  335.58
 1998  67  5.006  -1.07  335.67
 1998  68  5.006  -1.07  335.76
 1998  69  5.006  -1.07  335.85
 1998  70  5.006  -1.07  335.94
 1998  71  5.005  -1.08  336.03
 1998  72  5.005  -1.08  336.12
 1998  73  5.005  -1.08  336.21
 1998  74  5.005  -1.08  336.30
 1998  75  5.004  -1.08  336.39
 1998  76  5.004  -1.08  336.48
 1998  77  5.004  -1.08  336.57
 1998  78  5.004  -1.08  336.66
 1998  79  5.003  -1.08  336.75
 1998  80  5.003  -1.09  336.84
 1998  81  5.003  -1.09  336.93
 1998  82  5.003  -1.09  337.02
 1998  83  5.003  -1.09  337.11
 1998  84  5.002  -1.09  337.20
 1998  85  5.002  -1.09  337.29
 1998  86  5.002  -1.09  337.38
 1998  87  5.002  -1.09  337.47
 1998  88  5.001  -1.10  337.56
 1998  89  5.001  -1.10  337.65
 1998  90  5.001  -1.10  337.74
 1998  91  5.001  -1.10  337.83
 1998  92  5.001  -1.10  337.92
 1998  93  5.000  -1.10  338.01
 1998  94  5.000  -1.10  338.10
 1998  95  5.000  -1.10  338.19
 1998  96  5.000  -1.10  338.28
 1998  97  4.999  -1.10  338.37
 1998  98  4.999  -1.11  338.46
 1998  99  4.999  -1.11  338.55
 1998 100  4.999  -1.11  338.64
 1998 101  4.999  -1.11  338.73
 1998 102  4.998  -1.11  338.82
 1998 103  4.998  -1.11  338.91
 1998 104  4.998  -1.11  339.00
 1998 105  4.998  -1.11  339.09
 1998 106  4.997  -1.11  339.18
 1998 107  4.997  -1.12  339.27
 1998 108  4.997  -1.12  339.36
 1998 109  4.997  -1.12  339.45
 1998 110  4.997  -1.12  339.54
 1998 111  4.996  -1.12  339.63
 1998 112  4.996  -1.12  339.72
 1998 113  4.996  -1.12  339.81
 1998 114  4.996  -1.12  339.90
 1998 115  4.996  -1.12  339.99
 1998 116  4.995  -1.13  340.08
 1998 117  4.995  -1.13  340.17
 1998 118  4.995  -1.13  340.26
 1998 119  4.995  -1.13  340.35
 1998 120  4.994  -1.13  340.44
 1998 121  4.994  -1.13  340.53
 1998 122  4.994  -1.13  340.62
 1998 123  4.994  -1.13  340.71
 1998 124  4.994  -1.13  340.80
 1998 125  4.993  -1.13  340.89
 1998 126  4.993  -1.14  340.98
 1998 127  4.993  -1.14  341.07
 1998 128  4.993  -1.14  341.16
 1998 129  4.993  -1.14  341.25
 1998 130  4.992  -1.14  341.34
 1998 131  4.992  -1.14  341.43
 1998 132  4.992  -1.14  341.52
 1998 133  4.992  -1.14  341.61
 1998 134  4.992  -1.14  341.70
 1998 135  4.991  -1.14  341.79
 1998 136  4.991  -1.15  341.88
 1998 137  4.991  -1.15  341.97
 1998 138  4.991  -1.15  342.06
 1998 139  4.991  -1.15  342.15
 1998 140  4.990  -1.15  342.24
 1998 141  4.990  -1.15  342.33
 1998 142  4.990  -1.15  342.42
 1998 143  4.990  -1.15  342.51
 1998 144  4.990  -1.15  342.60
 1998 145  4.989  -1.15  342.69
 1998 146  4.989  -1.16  342.78
 1998 147  4.989  -1.16  342.87
 1998 148  4.989  -1.16  342.96
 1998 149  4.989  -1.16  343.05
 1998 150  4.988  -1.16  343.14
 1998 151  4.988  -1.16  343.23
 1998 152  4.988  -1.16  343.33
 1998 153  4.988  -1.16  343.42
 1998 154  4.988  -1.16  343.51
 1998 155  4.987  -1.16  343.60
 1998 156  4.987  -1.16  343.69
 1998 157  4.987  -1.17  343.78
 1998 158  4.987  -1.17  343.87
 1998 159  4.987  -1.17  343.96
 1998 160  4.986  -1.17  344.05
 1998 161  4.986  -1.17  344.14
 1998 162  4.986  -1.17  344.23
 1998 163  4.986  -1.17  344.32
 1998 164  4.986  -1.17  344.41
 1998 165  4.986  -1.17  344.50
 1998 166  4.985  -1.17  344.59
 1998 167  4.985  -1.17  344.68
 1998 168  4.985  -1.18  344.77
 1998 169  4.985  -1.18  344.86
 1998 170  4.985  -1.18  344.95
 1998 171  4.984  -1.18  345.04
 1998 172  4.984  -1.18  345.13
 1998 173  4.984  -1.18  345.22
 1998 174  4.984  -1.18  345.31
 1998 175  4.984  -1.18  345.41
 1998 176  4.983  -1.18  345.50
 1998 177  4.983  -1.18  345.59
 1998 178  4.983  -1.18  345.68
 1998 179  4.983  -1.19  345.77
 1998 180  4.983  -1.19  345.86
 1998 181  4.983  -1.19  345.95
 1998 182  4.982  -1.19  346.04
 1998 183  4.982  -1.19  346.13
 1998 184  4.982  -1.19  346.22
 1998 185  4.982  -1.19  346.31
 1998 186  4.982  -1.19  346.40
 1998 187  4.982  -1.19  346.49
 1998 188  4.981  -1.19  346.58
 1998 189  4.981  -1.19  346.67
 1998 190  4.981  -1.19  346.76
 1998 191  4.981  -1.20  346.85
 1998 192  4.981  -1.20  346.94
 1998 193  4.980  -1.20  347.04
 1998 194  4.980  -1.20  347.13
 1998 195  4.980  -1.20  347.22
 1998 196  4.980  -1.20  347.31
 1998 197  4.980  -1.20  347.40
 1998 198  4.980  -1.20  347.49
 1998 199  4.979  -1.20  347.58
 1998 200  4.979  -1.20  347.67
 1998 201  4.979  -1.20  347.76
 1998 202  4.979  -1.20  347.85
 1998 203  4.979  -1.21  347.94
 1998 204  4.979  -1.21  348.03
 1998 205  4.978  -1.21  348.12
 1998 206  4.978  -1.21  348.21
 1998 207  4.978  -1.21  348.30
 1998 208  4.978  -1.21  348.40
 1998 209  4.978  -1.21  348.49
 1998 210  4.978  -1.21  348.58
 1998 211  4.977  -1.21  348.67
 1998 212  4.977  -1.21  348.76
 1998 213  4.977  -1.21  348.85
 1998 214  4.977  -1.21  348.94
 1998 215  4.977  -1.21  349.03
 1998 216  4.977  -1.22  349.12
 1998 217  4.976  -1.22  349.21
 1998 218  4.976  -1.22  349.30
 1998 219  4.976  -1.22  349.39
 1998 220  4.976  -1.22  349.48
 1998 221  4.976  -1.22  349.58
 1998 222  4.976  -1.22  349.67
 1998 223  4.975  -1.22  349.76
 1998 224  4.975  -1.22  349.85
 1998 225  4.975  -1.22  349.94
 1998 226  4.975  -1.22  350.03
 1998 227  4.975  -1.22  350.12
 1998 228  4.975  -1.22  350.21
 1998 229  4.975  -1.22  350.30
 1998 230  4.974  -1.23  350.39
 1998 231  4.974  -1.23  350.48
 1998 232  4.974  -1.23  350.57
 1998 233  4.974  -1.23  350.67
 1998 234  4.974  -1.23  350.76
 1998 235  4.974  -1.23  350.85
 1998 236  4.973  -1.23  350.94
 1998 237  4.973  -1.23  351.03
 1998 238  4.973  -1.23  351.12
 1998 239  4.973  -1.23  351.21
 1998 240  4.973  -1.23  351.30
 1998 241  4.973  -1.23  351.39
 1998 242  4.973  -1.23  351.48
 1998 243  4.972  -1.23  351.57
 1998 244  4.972  -1.23  351.67
 1998 245  4.972  -1.24  351.76
 1998 246  4.972  -1.24  351.85
 1998 247  4.972  -1.24  351.94
 1998 248  4.972  -1.24  352.03
 1998 249  4.971  -1.24  352.12
 1998 250  4.971  -1.24  352.21
 1998 251  4.971  -1.24  352.30
 1998 252  4.971  -1.24  352.39
 1998 253  4.971  -1.24  352.48
 1998 254  4.971  -1.24  352.58
 1998 255  4.971  -1.24  352.67
 1998 256  4.970  -1.24  352.76
 1998 257  4.970  -1.24  352.85
 1998 258  4.970  -1.24  352.94
 1998 259  4.970  -1.24  353.03
 1998 260  4.970  -1.25  353.12
 1998 261  4.970  -1.25  353.21
 1998 262  4.970  -1.25  353.30
 1998 263  4.970  -1.25  353.39
 1998 264  4.969  -1.25  353.49
 1998 265  4.969  -1.25  353.58
 1998 266  4.969  -1.25  353.67
 1998 267  4.969  -1.25  353.76
 1998 268  4.969  -1.25  353.85
 1998 269  4.969  -1.25  353.94
 1998 270  4.969  -1.25  354.03
 1998 271  4.968  -1.25  354.12
 1998 272  4.968  -1.25  354.21
 1998 273  4.968  -1.25  354.30
 1998 274  4.968  -1.25  354.40
 1998 275  4.968  -1.25  354.49
 1998 276  4.968  -1.25  354.58
 1998 277  4.968  -1.26  354.67
