 YYYY DOY   AU     ELAT   ELON
 1998   1  1.382  -1.81  331.95
 1998   2  1.382  -1.80  332.59
 1998   3  1.381  -1.80  333.22
 1998   4  1.381  -1.79  333.86
 1998   5  1.381  -1.79  334.49
 1998   6  1.381  -1.78  335.13
 1998   7  1.381  -1.78  335.76
 1998   8  1.381  -1.77  336.40
 1998   9  1.381  -1.77  337.03
 1998  10  1.381  -1.76  337.67
 1998  11  1.381  -1.75  338.30
 1998  12  1.381  -1.75  338.94
 1998  13  1.382  -1.74  339.57
 1998  14  1.382  -1.73  340.21
 1998  15  1.382  -1.72  340.84
 1998  16  1.382  -1.72  341.48
 1998  17  1.382  -1.71  342.11
 1998  18  1.382  -1.70  342.75
 1998  19  1.382  -1.69  343.38
 1998  20  1.382  -1.68  344.01
 1998  21  1.383  -1.68  344.65
 1998  22  1.383  -1.67  345.28
 1998  23  1.383  -1.66  345.91
 1998  24  1.383  -1.65  346.55
 1998  25  1.384  -1.64  347.18
 1998  26  1.384  -1.63  347.81
 1998  27  1.384  -1.62  348.45
 1998  28  1.384  -1.61  349.08
 1998  29  1.385  -1.60  349.71
 1998  30  1.385  -1.59  350.34
 1998  31  1.385  -1.58  350.97
 1998  32  1.386  -1.57  351.60
 1998  33  1.386  -1.56  352.24
 1998  34  1.386  -1.55  352.87
 1998  35  1.387  -1.54  353.50
 1998  36  1.387  -1.52  354.13
 1998  37  1.388  -1.51  354.76
 1998  38  1.388  -1.50  355.38
 1998  39  1.388  -1.49  356.01
 1998  40  1.389  -1.48  356.64
 1998  41  1.389  -1.47  357.27
 1998  42  1.390  -1.45  357.90
 1998  43  1.390  -1.44  358.52
 1998  44  1.391  -1.43  359.15
 1998  45  1.391  -1.41  359.78
 1998  46  1.392  -1.40    0.40
 1998  47  1.392  -1.39    1.03
 1998  48  1.393  -1.37    1.65
 1998  49  1.394  -1.36    2.28
 1998  50  1.394  -1.35    2.90
 1998  51  1.395  -1.33    3.52
 1998  52  1.395  -1.32    4.14
 1998  53  1.396  -1.31    4.77
 1998  54  1.397  -1.29    5.39
 1998  55  1.397  -1.28    6.01
 1998  56  1.398  -1.26    6.63
 1998  57  1.399  -1.25    7.25
 1998  58  1.399  -1.23    7.87
 1998  59  1.400  -1.22    8.49
 1998  60  1.401  -1.20    9.10
 1998  61  1.401  -1.19    9.72
 1998  62  1.402  -1.17   10.34
 1998  63  1.403  -1.16   10.95
 1998  64  1.404  -1.14   11.57
 1998  65  1.404  -1.13   12.18
 1998  66  1.405  -1.11   12.80
 1998  67  1.406  -1.09   13.41
 1998  68  1.407  -1.08   14.02
 1998  69  1.408  -1.06   14.64
 1998  70  1.408  -1.05   15.25
 1998  71  1.409  -1.03   15.86
 1998  72  1.410  -1.01   16.47
 1998  73  1.411  -1.00   17.08
 1998  74  1.412  -0.98   17.68
 1998  75  1.413  -0.96   18.29
 1998  76  1.414  -0.95   18.90
 1998  77  1.414  -0.93   19.50
 1998  78  1.415  -0.91   20.11
 1998  79  1.416  -0.89   20.71
 1998  80  1.417  -0.88   21.32
 1998  81  1.418  -0.86   21.92
 1998  82  1.419  -0.84   22.52
 1998  83  1.420  -0.83   23.12
 1998  84  1.421  -0.81   23.72
 1998  85  1.422  -0.79   24.32
 1998  86  1.423  -0.77   24.92
 1998  87  1.424  -0.76   25.52
 1998  88  1.425  -0.74   26.12
 1998  89  1.426  -0.72   26.71
 1998  90  1.427  -0.70   27.31
 1998  91  1.428  -0.69   27.90
 1998  92  1.429  -0.67   28.50
 1998  93  1.430  -0.65   29.09
 1998  94  1.431  -0.63   29.68
 1998  95  1.432  -0.61   30.27
 1998  96  1.433  -0.60   30.86
 1998  97  1.434  -0.58   31.45
 1998  98  1.435  -0.56   32.04
 1998  99  1.436  -0.54   32.63
 1998 100  1.438  -0.52   33.21
 1998 101  1.439  -0.50   33.80
 1998 102  1.440  -0.49   34.38
 1998 103  1.441  -0.47   34.97
 1998 104  1.442  -0.45   35.55
 1998 105  1.443  -0.43   36.13
 1998 106  1.444  -0.41   36.71
 1998 107  1.445  -0.40   37.29
 1998 108  1.447  -0.38   37.87
 1998 109  1.448  -0.36   38.45
 1998 110  1.449  -0.34   39.03
 1998 111  1.450  -0.32   39.61
 1998 112  1.451  -0.30   40.18
 1998 113  1.452  -0.29   40.76
 1998 114  1.454  -0.27   41.33
 1998 115  1.455  -0.25   41.90
 1998 116  1.456  -0.23   42.47
 1998 117  1.457  -0.21   43.05
 1998 118  1.458  -0.19   43.62
 1998 119  1.460  -0.18   44.18
 1998 120  1.461  -0.16   44.75
 1998 121  1.462  -0.14   45.32
 1998 122  1.463  -0.12   45.89
 1998 123  1.464  -0.10   46.45
 1998 124  1.466  -0.08   47.01
 1998 125  1.467  -0.07   47.58
 1998 126  1.468  -0.05   48.14
 1998 127  1.469  -0.03   48.70
 1998 128  1.471  -0.01   49.26
 1998 129  1.472   0.01   49.82
 1998 130  1.473   0.02   50.38
 1998 131  1.474   0.04   50.94
 1998 132  1.476   0.06   51.49
 1998 133  1.477   0.08   52.05
 1998 134  1.478   0.10   52.60
 1998 135  1.479   0.11   53.16
 1998 136  1.481   0.13   53.71
 1998 137  1.482   0.15   54.26
 1998 138  1.483   0.17   54.81
 1998 139  1.485   0.18   55.36
 1998 140  1.486   0.20   55.91
 1998 141  1.487   0.22   56.46
 1998 142  1.488   0.24   57.01
 1998 143  1.490   0.25   57.55
 1998 144  1.491   0.27   58.10
 1998 145  1.492   0.29   58.64
 1998 146  1.494   0.31   59.18
 1998 147  1.495   0.32   59.73
 1998 148  1.496   0.34   60.27
 1998 149  1.498   0.36   60.81
 1998 150  1.499   0.38   61.35
 1998 151  1.500   0.39   61.88
 1998 152  1.501   0.41   62.42
 1998 153  1.503   0.43   62.96
 1998 154  1.504   0.44   63.49
 1998 155  1.505   0.46   64.03
 1998 156  1.507   0.48   64.56
 1998 157  1.508   0.49   65.10
 1998 158  1.509   0.51   65.63
 1998 159  1.511   0.53   66.16
 1998 160  1.512   0.54   66.69
 1998 161  1.513   0.56   67.22
 1998 162  1.515   0.57   67.75
 1998 163  1.516   0.59   68.27
 1998 164  1.517   0.61   68.80
 1998 165  1.518   0.62   69.32
 1998 166  1.520   0.64   69.85
 1998 167  1.521   0.65   70.37
 1998 168  1.522   0.67   70.90
 1998 169  1.524   0.69   71.42
 1998 170  1.525   0.70   71.94
 1998 171  1.526   0.72   72.46
 1998 172  1.528   0.73   72.98
 1998 173  1.529   0.75   73.50
 1998 174  1.530   0.76   74.01
 1998 175  1.531   0.78   74.53
 1998 176  1.533   0.79   75.05
 1998 177  1.534   0.81   75.56
 1998 178  1.535   0.82   76.07
 1998 179  1.537   0.84   76.59
 1998 180  1.538   0.85   77.10
 1998 181  1.539   0.87   77.61
 1998 182  1.540   0.88   78.12
 1998 183  1.542   0.90   78.63
 1998 184  1.543   0.91   79.14
 1998 185  1.544   0.93   79.65
 1998 186  1.546   0.94   80.16
 1998 187  1.547   0.95   80.66
 1998 188  1.548   0.97   81.17
 1998 189  1.549   0.98   81.67
 1998 190  1.551   1.00   82.18
 1998 191  1.552   1.01   82.68
 1998 192  1.553   1.02   83.18
 1998 193  1.554   1.04   83.68
 1998 194  1.556   1.05   84.18
 1998 195  1.557   1.06   84.68
 1998 196  1.558   1.08   85.18
 1998 197  1.559   1.09   85.68
 1998 198  1.561   1.10   86.18
 1998 199  1.562   1.11   86.68
 1998 200  1.563   1.13   87.17
 1998 201  1.564   1.14   87.67
 1998 202  1.565   1.15   88.16
 1998 203  1.567   1.16   88.66
 1998 204  1.568   1.18   89.15
 1998 205  1.569   1.19   89.64
 1998 206  1.570   1.20   90.13
 1998 207  1.571   1.21   90.62
 1998 208  1.573   1.23   91.11
 1998 209  1.574   1.24   91.60
 1998 210  1.575   1.25   92.09
 1998 211  1.576   1.26   92.58
 1998 212  1.577   1.27   93.07
 1998 213  1.578   1.28   93.55
 1998 214  1.580   1.29   94.04
 1998 215  1.581   1.31   94.52
 1998 216  1.582   1.32   95.01
 1998 217  1.583   1.33   95.49
 1998 218  1.584   1.34   95.98
 1998 219  1.585   1.35   96.46
 1998 220  1.586   1.36   96.94
 1998 221  1.588   1.37   97.42
 1998 222  1.589   1.38   97.90
 1998 223  1.590   1.39   98.38
 1998 224  1.591   1.40   98.86
 1998 225  1.592   1.41   99.34
 1998 226  1.593   1.42   99.82
 1998 227  1.594   1.43  100.29
 1998 228  1.595   1.44  100.77
 1998 229  1.596   1.45  101.25
 1998 230  1.597   1.46  101.72
 1998 231  1.598   1.47  102.19
 1998 232  1.599   1.48  102.67
 1998 233  1.601   1.49  103.14
 1998 234  1.602   1.50  103.61
 1998 235  1.603   1.50  104.09
 1998 236  1.604   1.51  104.56
 1998 237  1.605   1.52  105.03
 1998 238  1.606   1.53  105.50
 1998 239  1.607   1.54  105.97
 1998 240  1.608   1.55  106.44
 1998 241  1.609   1.56  106.91
 1998 242  1.610   1.56  107.38
 1998 243  1.611   1.57  107.84
 1998 244  1.612   1.58  108.31
 1998 245  1.613   1.59  108.78
 1998 246  1.614   1.60  109.24
 1998 247  1.614   1.60  109.71
 1998 248  1.615   1.61  110.17
 1998 249  1.616   1.62  110.64
 1998 250  1.617   1.62  111.10
 1998 251  1.618   1.63  111.56
 1998 252  1.619   1.64  112.03
 1998 253  1.620   1.65  112.49
 1998 254  1.621   1.65  112.95
 1998 255  1.622   1.66  113.41
 1998 256  1.623   1.67  113.87
 1998 257  1.624   1.67  114.33
 1998 258  1.624   1.68  114.79
 1998 259  1.625   1.68  115.25
 1998 260  1.626   1.69  115.71
 1998 261  1.627   1.70  116.17
 1998 262  1.628   1.70  116.62
 1998 263  1.629   1.71  117.08
 1998 264  1.629   1.71  117.54
 1998 265  1.630   1.72  118.00
 1998 266  1.631   1.72  118.45
 1998 267  1.632   1.73  118.91
 1998 268  1.633   1.74  119.36
 1998 269  1.633   1.74  119.82
 1998 270  1.634   1.75  120.27
 1998 271  1.635   1.75  120.72
 1998 272  1.636   1.75  121.18
 1998 273  1.636   1.76  121.63
 1998 274  1.637   1.76  122.08
 1998 275  1.638   1.77  122.54
 1998 276  1.639   1.77  122.99
 1998 277  1.639   1.78  123.44
 1998 278  1.640   1.78  123.89
 1998 279  1.641   1.78  124.34
 1998 280  1.641   1.79  124.79
 1998 281  1.642   1.79  125.24
 1998 282  1.643   1.80  125.69
 1998 283  1.643   1.80  126.14
 1998 284  1.644   1.80  126.59
 1998 285  1.645   1.81  127.03
 1998 286  1.645   1.81  127.48
 1998 287  1.646   1.81  127.93
 1998 288  1.647   1.81  128.38
 1998 289  1.647   1.82  128.82
 1998 290  1.648   1.82  129.27
 1998 291  1.648   1.82  129.72
 1998 292  1.649   1.82  130.16
 1998 293  1.650   1.83  130.61
 1998 294  1.650   1.83  131.06
 1998 295  1.651   1.83  131.50
 1998 296  1.651   1.83  131.94
 1998 297  1.652   1.83  132.39
 1998 298  1.652   1.84  132.83
 1998 299  1.653   1.84  133.28
 1998 300  1.653   1.84  133.72
 1998 301  1.654   1.84  134.16
 1998 302  1.654   1.84  134.61
 1998 303  1.655   1.84  135.05
 1998 304  1.655   1.84  135.49
 1998 305  1.656   1.85  135.94
 1998 306  1.656   1.85  136.38
 1998 307  1.656   1.85  136.82
 1998 308  1.657   1.85  137.26
 1998 309  1.657   1.85  137.70
 1998 310  1.658   1.85  138.14
 1998 311  1.658   1.85  138.58
 1998 312  1.659   1.85  139.03
 1998 313  1.659   1.85  139.47
 1998 314  1.659   1.85  139.91
 1998 315  1.660   1.85  140.35
 1998 316  1.660   1.85  140.79
 1998 317  1.660   1.85  141.23
 1998 318  1.661   1.85  141.67
 1998 319  1.661   1.85  142.11
 1998 320  1.661   1.85  142.54
 1998 321  1.662   1.85  142.98
 1998 322  1.662   1.85  143.42
 1998 323  1.662   1.84  143.86
 1998 324  1.662   1.84  144.30
 1998 325  1.663   1.84  144.74
 1998 326  1.663   1.84  145.18
 1998 327  1.663   1.84  145.61
 1998 328  1.663   1.84  146.05
 1998 329  1.664   1.84  146.49
 1998 330  1.664   1.83  146.93
 1998 331  1.664   1.83  147.37
 1998 332  1.664   1.83  147.80
 1998 333  1.664   1.83  148.24
 1998 334  1.665   1.83  148.68
 1998 335  1.665   1.82  149.12
 1998 336  1.665   1.82  149.55
 1998 337  1.665   1.82  149.99
 1998 338  1.665   1.82  150.43
 1998 339  1.665   1.81  150.86
 1998 340  1.665   1.81  151.30
 1998 341  1.666   1.81  151.74
 1998 342  1.666   1.81  152.17
 1998 343  1.666   1.80  152.61
 1998 344  1.666   1.80  153.05
 1998 345  1.666   1.80  153.48
 1998 346  1.666   1.79  153.92
 1998 347  1.666   1.79  154.36
 1998 348  1.666   1.79  154.79
 1998 349  1.666   1.78  155.23
 1998 350  1.666   1.78  155.67
 1998 351  1.666   1.77  156.10
 1998 352  1.666   1.77  156.54
 1998 353  1.666   1.77  156.98
 1998 354  1.666   1.76  157.41
 1998 355  1.666   1.76  157.85
 1998 356  1.666   1.75  158.29
 1998 357  1.666   1.75  158.72
 1998 358  1.666   1.74  159.16
 1998 359  1.666   1.74  159.60
 1998 360  1.666   1.73  160.03
 1998 361  1.666   1.73  160.47
 1998 362  1.665   1.72  160.91
 1998 363  1.665   1.72  161.34
 1998 364  1.665   1.71  161.78
 1998 365  1.665   1.71  162.22
