 YYYY DOY   AU     ELAT   ELON
 1998   1  0.369   6.19  166.39
 1998   2  0.375   5.92  170.73
 1998   3  0.381   5.63  174.92
 1998   4  0.386   5.32  178.98
 1998   5  0.392   5.00  182.91
 1998   6  0.398   4.66  186.72
 1998   7  0.403   4.31  190.43
 1998   8  0.408   3.96  194.04
 1998   9  0.413   3.59  197.55
 1998  10  0.418   3.22  200.99
 1998  11  0.423   2.85  204.35
 1998  12  0.427   2.48  207.65
 1998  13  0.432   2.10  210.88
 1998  14  0.436   1.73  214.06
 1998  15  0.440   1.35  217.19
 1998  16  0.443   0.98  220.26
 1998  17  0.447   0.61  223.29
 1998  18  0.450   0.25  226.28
 1998  19  0.453  -0.12  229.23
 1998  20  0.455  -0.47  232.14
 1998  21  0.458  -0.83  235.02
 1998  22  0.460  -1.17  237.86
 1998  23  0.462  -1.51  240.68
 1998  24  0.463  -1.84  243.47
 1998  25  0.464  -2.17  246.23
 1998  26  0.465  -2.49  248.98
 1998  27  0.466  -2.80  251.72
 1998  28  0.467  -3.10  254.45
 1998  29  0.467  -3.40  257.17
 1998  30  0.467  -3.69  259.90
 1998  31  0.466  -3.97  262.63
 1998  32  0.465  -4.24  265.38
 1998  33  0.464  -4.50  268.14
 1998  34  0.463  -4.76  270.92
 1998  35  0.462  -5.00  273.73
 1998  36  0.460  -5.24  276.56
 1998  37  0.458  -5.47  279.43
 1998  38  0.456  -5.68  282.33
 1998  39  0.453  -5.88  285.27
 1998  40  0.450  -6.07  288.25
 1998  41  0.447  -6.25  291.28
 1998  42  0.443  -6.41  294.34
 1998  43  0.440  -6.55  297.46
 1998  44  0.436  -6.68  300.62
 1998  45  0.432  -6.79  303.84
 1998  46  0.427  -6.87  307.12
 1998  47  0.423  -6.94  310.45
 1998  48  0.418  -6.98  313.86
 1998  49  0.413  -7.00  317.33
 1998  50  0.408  -7.00  320.89
 1998  51  0.403  -6.96  324.53
 1998  52  0.398  -6.90  328.26
 1998  53  0.392  -6.80  332.10
 1998  54  0.386  -6.67  336.05
 1998  55  0.381  -6.51  340.12
 1998  56  0.375  -6.30  344.33
 1998  57  0.369  -6.05  348.67
 1998  58  0.363  -5.76  353.15
 1998  59  0.358  -5.42  357.78
 1998  60  0.352  -5.03    2.57
 1998  61  0.346  -4.59    7.52
 1998  62  0.341  -4.10   12.62
 1998  63  0.336  -3.56   17.88
 1998  64  0.331  -2.97   23.30
 1998  65  0.326  -2.34   28.86
 1998  66  0.322  -1.67   34.56
 1998  67  0.318  -0.97   40.39
 1998  68  0.315  -0.24   46.33
 1998  69  0.312   0.50   52.38
 1998  70  0.310   1.25   58.52
 1998  71  0.309   1.99   64.72
 1998  72  0.308   2.71   70.97
 1998  73  0.308   3.41   77.25
 1998  74  0.308   4.06   83.54
 1998  75  0.309   4.66   89.82
 1998  76  0.310   5.20   96.06
 1998  77  0.313   5.67  102.25
 1998  78  0.315   6.08  108.36
 1998  79  0.319   6.41  114.38
 1998  80  0.322   6.66  120.27
 1998  81  0.326   6.85  126.05
 1998  82  0.331   6.96  131.67
 1998  83  0.336   7.00  137.15
 1998  84  0.341   6.99  142.46
 1998  85  0.347   6.91  147.61
 1998  86  0.352   6.79  152.59
 1998  87  0.358   6.62  157.40
 1998  88  0.364   6.42  162.04
 1998  89  0.369   6.18  166.53
 1998  90  0.375   5.91  170.87
 1998  91  0.381   5.62  175.05
 1998  92  0.387   5.31  179.11
 1998  93  0.392   4.99  183.03
 1998  94  0.398   4.65  186.84
 1998  95  0.403   4.30  190.54
 1998  96  0.408   3.94  194.15
 1998  97  0.413   3.58  197.66
 1998  98  0.418   3.21  201.10
 1998  99  0.423   2.84  204.46
 1998 100  0.428   2.47  207.75
 1998 101  0.432   2.09  210.98
 1998 102  0.436   1.72  214.16
 1998 103  0.440   1.34  217.28
 1998 104  0.443   0.97  220.36
 1998 105  0.447   0.60  223.39
 1998 106  0.450   0.23  226.38
 1998 107  0.453  -0.13  229.33
 1998 108  0.456  -0.49  232.24
 1998 109  0.458  -0.84  235.11
 1998 110  0.460  -1.18  237.95
 1998 111  0.462  -1.52  240.77
 1998 112  0.463  -1.85  243.56
 1998 113  0.465  -2.18  246.32
 1998 114  0.465  -2.50  249.07
 1998 115  0.466  -2.81  251.81
 1998 116  0.467  -3.11  254.54
 1998 117  0.467  -3.41  257.26
 1998 118  0.467  -3.69  259.99
 1998 119  0.466  -3.97  262.72
 1998 120  0.465  -4.25  265.46
 1998 121  0.464  -4.51  268.22
 1998 122  0.463  -4.77  271.01
 1998 123  0.462  -5.01  273.81
 1998 124  0.460  -5.25  276.65
 1998 125  0.458  -5.47  279.52
 1998 126  0.455  -5.69  282.42
 1998 127  0.453  -5.89  285.37
 1998 128  0.450  -6.08  288.35
 1998 129  0.447  -6.25  291.37
 1998 130  0.443  -6.41  294.44
 1998 131  0.440  -6.56  297.56
 1998 132  0.436  -6.68  300.73
 1998 133  0.432  -6.79  303.94
 1998 134  0.427  -6.88  307.22
 1998 135  0.423  -6.94  310.56
 1998 136  0.418  -6.99  313.96
 1998 137  0.413  -7.00  317.44
 1998 138  0.408  -7.00  321.00
 1998 139  0.403  -6.96  324.64
 1998 140  0.397  -6.90  328.38
 1998 141  0.392  -6.80  332.22
 1998 142  0.386  -6.67  336.18
 1998 143  0.381  -6.50  340.26
 1998 144  0.375  -6.29  344.46
 1998 145  0.369  -6.04  348.80
 1998 146  0.363  -5.75  353.29
 1998 147  0.358  -5.40  357.93
 1998 148  0.352  -5.01    2.73
 1998 149  0.346  -4.57    7.68
 1998 150  0.341  -4.08   12.79
 1998 151  0.336  -3.54   18.05
 1998 152  0.331  -2.95   23.47
 1998 153  0.326  -2.32   29.04
 1998 154  0.322  -1.65   34.74
 1998 155  0.318  -0.94   40.57
 1998 156  0.315  -0.22   46.52
 1998 157  0.312   0.53   52.57
 1998 158  0.310   1.27   58.71
 1998 159  0.309   2.01   64.92
 1998 160  0.308   2.74   71.17
 1998 161  0.308   3.43   77.45
 1998 162  0.308   4.08   83.74
 1998 163  0.309   4.68   90.02
 1998 164  0.310   5.22   96.26
 1998 165  0.313   5.69  102.44
 1998 166  0.315   6.09  108.55
 1998 167  0.319   6.42  114.56
 1998 168  0.322   6.67  120.46
 1998 169  0.327   6.85  126.22
 1998 170  0.331   6.96  131.85
 1998 171  0.336   7.00  137.32
 1998 172  0.341   6.98  142.62
