 YYYY DOY   AU     ELAT   ELON
 1998   1  9.331  -2.48   19.88
 1998   2  9.330  -2.48   19.92
 1998   3  9.330  -2.48   19.95
 1998   4  9.330  -2.48   19.99
 1998   5  9.329  -2.48   20.02
 1998   6  9.329  -2.48   20.06
 1998   7  9.329  -2.48   20.09
 1998   8  9.329  -2.48   20.13
 1998   9  9.328  -2.48   20.16
 1998  10  9.328  -2.48   20.20
 1998  11  9.328  -2.48   20.23
 1998  12  9.327  -2.48   20.27
 1998  13  9.327  -2.48   20.30
 1998  14  9.327  -2.48   20.34
 1998  15  9.327  -2.48   20.37
 1998  16  9.326  -2.48   20.41
 1998  17  9.326  -2.48   20.44
 1998  18  9.326  -2.48   20.48
 1998  19  9.325  -2.48   20.51
 1998  20  9.325  -2.48   20.55
 1998  21  9.325  -2.48   20.58
 1998  22  9.325  -2.48   20.62
 1998  23  9.324  -2.48   20.65
 1998  24  9.324  -2.48   20.69
 1998  25  9.324  -2.48   20.72
 1998  26  9.323  -2.48   20.76
 1998  27  9.323  -2.48   20.79
 1998  28  9.323  -2.48   20.83
 1998  29  9.322  -2.48   20.86
 1998  30  9.322  -2.48   20.90
 1998  31  9.322  -2.48   20.93
 1998  32  9.322  -2.48   20.97
 1998  33  9.321  -2.49   21.00
 1998  34  9.321  -2.49   21.04
 1998  35  9.321  -2.49   21.07
 1998  36  9.320  -2.49   21.11
 1998  37  9.320  -2.49   21.14
 1998  38  9.320  -2.49   21.18
 1998  39  9.320  -2.49   21.21
 1998  40  9.319  -2.49   21.25
 1998  41  9.319  -2.49   21.28
 1998  42  9.319  -2.49   21.32
 1998  43  9.318  -2.49   21.35
 1998  44  9.318  -2.49   21.39
 1998  45  9.318  -2.49   21.42
 1998  46  9.318  -2.49   21.46
 1998  47  9.317  -2.49   21.49
 1998  48  9.317  -2.49   21.53
 1998  49  9.317  -2.49   21.56
 1998  50  9.316  -2.49   21.60
 1998  51  9.316  -2.49   21.63
 1998  52  9.316  -2.49   21.67
 1998  53  9.315  -2.49   21.70
 1998  54  9.315  -2.49   21.74
 1998  55  9.315  -2.49   21.77
 1998  56  9.315  -2.49   21.81
 1998  57  9.314  -2.49   21.84
 1998  58  9.314  -2.49   21.88
 1998  59  9.314  -2.49   21.91
 1998  60  9.313  -2.49   21.95
 1998  61  9.313  -2.49   21.98
 1998  62  9.313  -2.49   22.02
 1998  63  9.313  -2.49   22.05
 1998  64  9.312  -2.49   22.09
 1998  65  9.312  -2.49   22.12
 1998  66  9.312  -2.49   22.16
 1998  67  9.311  -2.49   22.19
 1998  68  9.311  -2.49   22.23
 1998  69  9.311  -2.49   22.26
 1998  70  9.311  -2.49   22.30
 1998  71  9.310  -2.49   22.33
 1998  72  9.310  -2.49   22.37
 1998  73  9.310  -2.49   22.40
 1998  74  9.309  -2.49   22.44
 1998  75  9.309  -2.49   22.47
 1998  76  9.309  -2.49   22.51
 1998  77  9.309  -2.49   22.54
 1998  78  9.308  -2.49   22.58
 1998  79  9.308  -2.49   22.61
 1998  80  9.308  -2.49   22.65
 1998  81  9.307  -2.49   22.68
 1998  82  9.307  -2.49   22.72
 1998  83  9.307  -2.49   22.75
 1998  84  9.307  -2.49   22.79
 1998  85  9.306  -2.49   22.82
 1998  86  9.306  -2.49   22.86
 1998  87  9.306  -2.49   22.89
 1998  88  9.305  -2.49   22.93
 1998  89  9.305  -2.49   22.96
 1998  90  9.305  -2.49   23.00
 1998  91  9.305  -2.49   23.04
 1998  92  9.304  -2.49   23.07
 1998  93  9.304  -2.49   23.11
 1998  94  9.304  -2.49   23.14
 1998  95  9.303  -2.49   23.18
 1998  96  9.303  -2.49   23.21
 1998  97  9.303  -2.49   23.25
 1998  98  9.302  -2.49   23.28
 1998  99  9.302  -2.49   23.32
 1998 100  9.302  -2.49   23.35
 1998 101  9.302  -2.49   23.39
 1998 102  9.301  -2.49   23.42
 1998 103  9.301  -2.49   23.46
 1998 104  9.301  -2.49   23.49
 1998 105  9.300  -2.49   23.53
 1998 106  9.300  -2.49   23.56
 1998 107  9.300  -2.49   23.60
 1998 108  9.300  -2.49   23.63
 1998 109  9.299  -2.49   23.67
 1998 110  9.299  -2.49   23.70
 1998 111  9.299  -2.49   23.74
 1998 112  9.298  -2.49   23.77
 1998 113  9.298  -2.49   23.81
 1998 114  9.298  -2.49   23.84
 1998 115  9.298  -2.49   23.88
 1998 116  9.297  -2.49   23.91
 1998 117  9.297  -2.49   23.95
 1998 118  9.297  -2.49   23.98
 1998 119  9.296  -2.49   24.02
 1998 120  9.296  -2.49   24.05
 1998 121  9.296  -2.49   24.09
 1998 122  9.296  -2.49   24.12
 1998 123  9.295  -2.49   24.16
 1998 124  9.295  -2.49   24.20
 1998 125  9.295  -2.49   24.23
 1998 126  9.294  -2.49   24.27
 1998 127  9.294  -2.49   24.30
 1998 128  9.294  -2.49   24.34
 1998 129  9.294  -2.49   24.37
 1998 130  9.293  -2.49   24.41
 1998 131  9.293  -2.49   24.44
 1998 132  9.293  -2.49   24.48
 1998 133  9.292  -2.49   24.51
 1998 134  9.292  -2.49   24.55
 1998 135  9.292  -2.49   24.58
 1998 136  9.292  -2.49   24.62
 1998 137  9.291  -2.49   24.65
 1998 138  9.291  -2.49   24.69
 1998 139  9.291  -2.49   24.72
 1998 140  9.290  -2.49   24.76
 1998 141  9.290  -2.49   24.79
 1998 142  9.290  -2.49   24.83
 1998 143  9.290  -2.49   24.86
 1998 144  9.289  -2.49   24.90
 1998 145  9.289  -2.49   24.93
 1998 146  9.289  -2.49   24.97
 1998 147  9.289  -2.49   25.00
 1998 148  9.288  -2.49   25.04
 1998 149  9.288  -2.49   25.08
 1998 150  9.288  -2.49   25.11
 1998 151  9.287  -2.49   25.15
 1998 152  9.287  -2.49   25.18
 1998 153  9.287  -2.49   25.22
 1998 154  9.287  -2.49   25.25
 1998 155  9.286  -2.49   25.29
 1998 156  9.286  -2.49   25.32
 1998 157  9.286  -2.49   25.36
 1998 158  9.285  -2.49   25.39
 1998 159  9.285  -2.49   25.43
 1998 160  9.285  -2.49   25.46
 1998 161  9.285  -2.49   25.50
 1998 162  9.284  -2.49   25.53
 1998 163  9.284  -2.49   25.57
 1998 164  9.284  -2.49   25.60
 1998 165  9.283  -2.49   25.64
 1998 166  9.283  -2.49   25.67
 1998 167  9.283  -2.49   25.71
 1998 168  9.283  -2.49   25.75
 1998 169  9.282  -2.49   25.78
 1998 170  9.282  -2.49   25.82
 1998 171  9.282  -2.49   25.85
 1998 172  9.281  -2.49   25.89
 1998 173  9.281  -2.49   25.92
 1998 174  9.281  -2.49   25.96
 1998 175  9.281  -2.49   25.99
 1998 176  9.280  -2.49   26.03
 1998 177  9.280  -2.49   26.06
 1998 178  9.280  -2.49   26.10
 1998 179  9.279  -2.49   26.13
 1998 180  9.279  -2.49   26.17
 1998 181  9.279  -2.49   26.20
 1998 182  9.279  -2.48   26.24
 1998 183  9.278  -2.48   26.27
 1998 184  9.278  -2.48   26.31
 1998 185  9.278  -2.48   26.35
 1998 186  9.278  -2.48   26.38
 1998 187  9.277  -2.48   26.42
 1998 188  9.277  -2.48   26.45
 1998 189  9.277  -2.48   26.49
 1998 190  9.276  -2.48   26.52
 1998 191  9.276  -2.48   26.56
 1998 192  9.276  -2.48   26.59
 1998 193  9.276  -2.48   26.63
 1998 194  9.275  -2.48   26.66
 1998 195  9.275  -2.48   26.70
 1998 196  9.275  -2.48   26.73
 1998 197  9.274  -2.48   26.77
 1998 198  9.274  -2.48   26.80
 1998 199  9.274  -2.48   26.84
 1998 200  9.274  -2.48   26.88
 1998 201  9.273  -2.48   26.91
 1998 202  9.273  -2.48   26.95
 1998 203  9.273  -2.48   26.98
 1998 204  9.272  -2.48   27.02
 1998 205  9.272  -2.48   27.05
 1998 206  9.272  -2.48   27.09
 1998 207  9.272  -2.48   27.12
 1998 208  9.271  -2.48   27.16
 1998 209  9.271  -2.48   27.19
 1998 210  9.271  -2.48   27.23
 1998 211  9.271  -2.48   27.26
 1998 212  9.270  -2.48   27.30
 1998 213  9.270  -2.48   27.34
 1998 214  9.270  -2.48   27.37
 1998 215  9.269  -2.48   27.41
 1998 216  9.269  -2.48   27.44
 1998 217  9.269  -2.48   27.48
 1998 218  9.269  -2.48   27.51
 1998 219  9.268  -2.48   27.55
 1998 220  9.268  -2.48   27.58
 1998 221  9.268  -2.48   27.62
 1998 222  9.267  -2.48   27.65
 1998 223  9.267  -2.48   27.69
 1998 224  9.267  -2.48   27.72
 1998 225  9.267  -2.48   27.76
 1998 226  9.266  -2.48   27.80
 1998 227  9.266  -2.48   27.83
 1998 228  9.266  -2.48   27.87
 1998 229  9.266  -2.48   27.90
 1998 230  9.265  -2.48   27.94
 1998 231  9.265  -2.48   27.97
 1998 232  9.265  -2.48   28.01
 1998 233  9.264  -2.48   28.04
 1998 234  9.264  -2.48   28.08
 1998 235  9.264  -2.48   28.11
 1998 236  9.264  -2.48   28.15
 1998 237  9.263  -2.48   28.18
 1998 238  9.263  -2.48   28.22
 1998 239  9.263  -2.48   28.26
 1998 240  9.262  -2.48   28.29
 1998 241  9.262  -2.48   28.33
 1998 242  9.262  -2.48   28.36
 1998 243  9.262  -2.48   28.40
 1998 244  9.261  -2.48   28.43
 1998 245  9.261  -2.48   28.47
 1998 246  9.261  -2.48   28.50
 1998 247  9.261  -2.48   28.54
 1998 248  9.260  -2.48   28.57
 1998 249  9.260  -2.48   28.61
 1998 250  9.260  -2.48   28.65
 1998 251  9.259  -2.48   28.68
 1998 252  9.259  -2.48   28.72
 1998 253  9.259  -2.48   28.75
 1998 254  9.259  -2.48   28.79
 1998 255  9.258  -2.48   28.82
 1998 256  9.258  -2.48   28.86
 1998 257  9.258  -2.48   28.89
 1998 258  9.257  -2.48   28.93
 1998 259  9.257  -2.48   28.96
 1998 260  9.257  -2.48   29.00
 1998 261  9.257  -2.48   29.04
 1998 262  9.256  -2.48   29.07
 1998 263  9.256  -2.48   29.11
 1998 264  9.256  -2.48   29.14
 1998 265  9.256  -2.48   29.18
 1998 266  9.255  -2.48   29.21
 1998 267  9.255  -2.48   29.25
 1998 268  9.255  -2.48   29.28
 1998 269  9.254  -2.48   29.32
 1998 270  9.254  -2.48   29.36
 1998 271  9.254  -2.47   29.39
 1998 272  9.254  -2.47   29.43
 1998 273  9.253  -2.47   29.46
 1998 274  9.253  -2.47   29.50
 1998 275  9.253  -2.47   29.53
 1998 276  9.253  -2.47   29.57
 1998 277  9.252  -2.47   29.60
 1998 278  9.252  -2.47   29.64
 1998 279  9.252  -2.47   29.67
 1998 280  9.251  -2.47   29.71
 1998 281  9.251  -2.47   29.75
 1998 282  9.251  -2.47   29.78
 1998 283  9.251  -2.47   29.82
 1998 284  9.250  -2.47   29.85
 1998 285  9.250  -2.47   29.89
