 YYYY DOY   AU     ELAT   ELON
 1998   1  0.720   0.84   91.05
 1998   2  0.720   0.94   92.67
 1998   3  0.719   1.03   94.29
 1998   4  0.719   1.12   95.91
 1998   5  0.719   1.21   97.52
 1998   6  0.719   1.30   99.14
 1998   7  0.719   1.39  100.76
 1998   8  0.719   1.47  102.38
 1998   9  0.719   1.56  104.00
 1998  10  0.719   1.64  105.62
 1998  11  0.719   1.73  107.24
 1998  12  0.719   1.81  108.86
 1998  13  0.719   1.89  110.48
 1998  14  0.719   1.97  112.10
 1998  15  0.719   2.05  113.73
 1998  16  0.719   2.12  115.35
 1998  17  0.719   2.20  116.97
 1998  18  0.719   2.27  118.59
 1998  19  0.719   2.34  120.22
 1998  20  0.718   2.41  121.84
 1998  21  0.718   2.48  123.47
 1998  22  0.718   2.54  125.09
 1998  23  0.718   2.60  126.71
 1998  24  0.718   2.66  128.34
 1998  25  0.718   2.72  129.96
 1998  26  0.718   2.78  131.59
 1998  27  0.718   2.83  133.21
 1998  28  0.718   2.89  134.84
 1998  29  0.718   2.93  136.46
 1998  30  0.718   2.98  138.09
 1998  31  0.718   3.03  139.72
 1998  32  0.718   3.07  141.34
 1998  33  0.719   3.11  142.97
 1998  34  0.719   3.15  144.59
 1998  35  0.719   3.18  146.22
 1998  36  0.719   3.21  147.84
 1998  37  0.719   3.24  149.47
 1998  38  0.719   3.27  151.09
 1998  39  0.719   3.29  152.72
 1998  40  0.719   3.32  154.34
 1998  41  0.719   3.34  155.97
 1998  42  0.719   3.35  157.59
 1998  43  0.719   3.37  159.22
 1998  44  0.719   3.38  160.84
 1998  45  0.719   3.39  162.47
 1998  46  0.719   3.39  164.09
 1998  47  0.719   3.39  165.71
 1998  48  0.719   3.39  167.34
 1998  49  0.719   3.39  168.96
 1998  50  0.719   3.39  170.58
 1998  51  0.720   3.38  172.20
 1998  52  0.720   3.37  173.83
 1998  53  0.720   3.35  175.45
 1998  54  0.720   3.34  177.07
 1998  55  0.720   3.32  178.69
 1998  56  0.720   3.30  180.31
 1998  57  0.720   3.28  181.93
 1998  58  0.720   3.25  183.54
 1998  59  0.720   3.22  185.16
 1998  60  0.720   3.19  186.78
 1998  61  0.721   3.15  188.40
 1998  62  0.721   3.12  190.01
 1998  63  0.721   3.08  191.63
