 YYYY DOY   AU     ELAT   ELON
 1998   1 30.109   0.38  299.59
 1998   2 30.109   0.38  299.60
 1998   3 30.109   0.38  299.61
 1998   4 30.109   0.38  299.61
 1998   5 30.109   0.38  299.62
 1998   6 30.109   0.38  299.62
 1998   7 30.109   0.38  299.63
 1998   8 30.109   0.38  299.64
 1998   9 30.109   0.37  299.64
 1998  10 30.109   0.37  299.65
 1998  11 30.109   0.37  299.65
 1998  12 30.109   0.37  299.66
 1998  13 30.109   0.37  299.67
 1998  14 30.109   0.37  299.67
 1998  15 30.109   0.37  299.68
 1998  16 30.109   0.37  299.68
 1998  17 30.109   0.37  299.69
 1998  18 30.109   0.37  299.70
 1998  19 30.109   0.37  299.70
 1998  20 30.109   0.37  299.71
 1998  21 30.109   0.37  299.71
 1998  22 30.109   0.37  299.72
 1998  23 30.109   0.37  299.73
 1998  24 30.109   0.37  299.73
 1998  25 30.109   0.37  299.74
 1998  26 30.109   0.37  299.74
 1998  27 30.109   0.37  299.75
 1998  28 30.109   0.37  299.76
 1998  29 30.108   0.37  299.76
 1998  30 30.108   0.37  299.77
 1998  31 30.108   0.37  299.77
 1998  32 30.108   0.37  299.78
 1998  33 30.108   0.37  299.79
 1998  34 30.108   0.37  299.79
 1998  35 30.108   0.37  299.80
 1998  36 30.108   0.37  299.80
 1998  37 30.108   0.37  299.81
 1998  38 30.108   0.37  299.82
 1998  39 30.108   0.37  299.82
 1998  40 30.108   0.37  299.83
 1998  41 30.108   0.37  299.83
 1998  42 30.108   0.37  299.84
 1998  43 30.108   0.37  299.85
 1998  44 30.108   0.37  299.85
 1998  45 30.108   0.37  299.86
 1998  46 30.108   0.37  299.86
 1998  47 30.108   0.37  299.87
 1998  48 30.108   0.37  299.88
 1998  49 30.108   0.37  299.88
 1998  50 30.108   0.37  299.89
 1998  51 30.108   0.37  299.89
 1998  52 30.108   0.37  299.90
 1998  53 30.108   0.37  299.91
 1998  54 30.108   0.37  299.91
 1998  55 30.108   0.37  299.92
 1998  56 30.108   0.37  299.92
 1998  57 30.108   0.37  299.93
 1998  58 30.108   0.37  299.94
 1998  59 30.108   0.37  299.94
 1998  60 30.108   0.37  299.95
 1998  61 30.107   0.37  299.95
 1998  62 30.107   0.37  299.96
 1998  63 30.107   0.37  299.97
 1998  64 30.107   0.36  299.97
 1998  65 30.107   0.36  299.98
 1998  66 30.107   0.36  299.98
 1998  67 30.107   0.36  299.99
 1998  68 30.107   0.36  300.00
 1998  69 30.107   0.36  300.00
 1998  70 30.107   0.36  300.01
 1998  71 30.107   0.36  300.01
 1998  72 30.107   0.36  300.02
 1998  73 30.107   0.36  300.03
 1998  74 30.107   0.36  300.03
 1998  75 30.107   0.36  300.04
 1998  76 30.107   0.36  300.04
 1998  77 30.107   0.36  300.05
 1998  78 30.107   0.36  300.06
 1998  79 30.107   0.36  300.06
 1998  80 30.107   0.36  300.07
 1998  81 30.107   0.36  300.07
 1998  82 30.107   0.36  300.08
 1998  83 30.107   0.36  300.09
 1998  84 30.107   0.36  300.09
 1998  85 30.107   0.36  300.10
 1998  86 30.107   0.36  300.10
 1998  87 30.107   0.36  300.11
 1998  88 30.107   0.36  300.12
 1998  89 30.107   0.36  300.12
 1998  90 30.107   0.36  300.13
 1998  91 30.107   0.36  300.13
 1998  92 30.107   0.36  300.14
 1998  93 30.107   0.36  300.15
 1998  94 30.106   0.36  300.15
 1998  95 30.106   0.36  300.16
 1998  96 30.106   0.36  300.16
 1998  97 30.106   0.36  300.17
 1998  98 30.106   0.36  300.18
 1998  99 30.106   0.36  300.18
 1998 100 30.106   0.36  300.19
 1998 101 30.106   0.36  300.19
 1998 102 30.106   0.36  300.20
 1998 103 30.106   0.36  300.21
 1998 104 30.106   0.36  300.21
 1998 105 30.106   0.36  300.22
 1998 106 30.106   0.36  300.22
 1998 107 30.106   0.36  300.23
 1998 108 30.106   0.36  300.24
 1998 109 30.106   0.36  300.24
 1998 110 30.106   0.36  300.25
 1998 111 30.106   0.36  300.25
 1998 112 30.106   0.36  300.26
 1998 113 30.106   0.36  300.27
 1998 114 30.106   0.36  300.27
 1998 115 30.106   0.36  300.28
 1998 116 30.106   0.36  300.28
 1998 117 30.106   0.36  300.29
 1998 118 30.106   0.36  300.30
 1998 119 30.106   0.36  300.30
 1998 120 30.106   0.35  300.31
 1998 121 30.106   0.35  300.31
 1998 122 30.106   0.35  300.32
 1998 123 30.106   0.35  300.33
 1998 124 30.106   0.35  300.33
 1998 125 30.106   0.35  300.34
 1998 126 30.105   0.35  300.34
 1998 127 30.105   0.35  300.35
 1998 128 30.105   0.35  300.36
 1998 129 30.105   0.35  300.36
 1998 130 30.105   0.35  300.37
 1998 131 30.105   0.35  300.37
 1998 132 30.105   0.35  300.38
 1998 133 30.105   0.35  300.39
 1998 134 30.105   0.35  300.39
 1998 135 30.105   0.35  300.40
 1998 136 30.105   0.35  300.40
 1998 137 30.105   0.35  300.41
 1998 138 30.105   0.35  300.42
 1998 139 30.105   0.35  300.42
 1998 140 30.105   0.35  300.43
 1998 141 30.105   0.35  300.43
 1998 142 30.105   0.35  300.44
 1998 143 30.105   0.35  300.45
 1998 144 30.105   0.35  300.45
 1998 145 30.105   0.35  300.46
 1998 146 30.105   0.35  300.46
 1998 147 30.105   0.35  300.47
 1998 148 30.105   0.35  300.48
 1998 149 30.105   0.35  300.48
 1998 150 30.105   0.35  300.49
 1998 151 30.105   0.35  300.49
 1998 152 30.105   0.35  300.50
 1998 153 30.105   0.35  300.51
 1998 154 30.105   0.35  300.51
 1998 155 30.105   0.35  300.52
 1998 156 30.105   0.35  300.52
 1998 157 30.105   0.35  300.53
 1998 158 30.104   0.35  300.54
 1998 159 30.104   0.35  300.54
 1998 160 30.104   0.35  300.55
 1998 161 30.104   0.35  300.55
 1998 162 30.104   0.35  300.56
 1998 163 30.104   0.35  300.57
 1998 164 30.104   0.35  300.57
 1998 165 30.104   0.35  300.58
 1998 166 30.104   0.35  300.58
 1998 167 30.104   0.35  300.59
 1998 168 30.104   0.35  300.60
 1998 169 30.104   0.35  300.60
 1998 170 30.104   0.35  300.61
 1998 171 30.104   0.35  300.61
 1998 172 30.104   0.35  300.62
 1998 173 30.104   0.35  300.63
 1998 174 30.104   0.35  300.63
 1998 175 30.104   0.34  300.64
 1998 176 30.104   0.34  300.64
 1998 177 30.104   0.34  300.65
 1998 178 30.104   0.34  300.66
 1998 179 30.104   0.34  300.66
 1998 180 30.104   0.34  300.67
 1998 181 30.104   0.34  300.67
